cement,water,fine_aggregate,coarse_aggregate,fly_ash,superplasticizer,age_days,strength_MPa
244.91790533065796,190.2368199825287,638.9778882265091,923.8979578018188,183.6947202682495,5.81433892250061,19.609941765666008,132.1
421.4514001272619,132.75890041142702,896.7497072182596,958.2874561659992,21.71740736812353,14.246746562421322,49.66428942326456,181.7
373.8576943986118,218.7291724421084,741.4474932476878,851.2629243545234,90.35742320120335,18.403687346726656,41.004521233960986,187.5
159.78758158162236,163.69037244468927,793.1053661741316,1030.9557685628533,102.55465041846037,1.8478058278560638,73.65020242333412,74.3
211.6555924527347,198.9345289580524,829.9738012254238,1068.6867101117969,133.5871959105134,8.616683967411518,37.029912658035755,113.0
304.3970030732453,154.94455069303513,628.4438031725585,813.9709799550474,70.363087952137,11.444385554641485,88.03020650707185,150.2
407.10541689768434,172.10537938401103,784.9365161731839,996.0001609288156,39.41838163882494,16.227560862898827,13.031292811967432,177.5
276.82738741859794,128.59986916184425,676.9995776005089,886.624394915998,152.03194692730904,4.0239437855780125,66.62806967180222,143.4
287.57044561207294,209.11810433492064,751.8110901117325,825.3067630343139,2.4429375305771828,0.017820801585912704,28.813271296210587,79.5
377.6043249294162,166.58772014081478,710.0855181924999,1094.3779641762376,190.4717668890953,19.691683240234852,81.63674122001976,231.7
331.19171876460314,186.92686518654227,853.6873200908303,902.6820125058293,121.61187846213579,12.638926450163126,11.299184296280146,162.8
203.62121611833572,141.95278443396091,604.6965275891125,1017.0382450334728,83.80296602845192,7.339148446917534,61.53132122941315,100.7
169.95514053851366,181.70748667791486,718.3224890381098,979.7647452913225,52.332496270537376,2.821405492722988,25.556973109021783,53.7
344.94811445474625,125.71187119930983,816.269853617996,940.3947776183486,139.11445643752813,16.888120751827955,57.678927924484015,195.8
450.0,120.72383131055778,670.5657700229244,1100.0,200.0,20.0,90.0,265.3
450.0,120.0,600.0,821.2406241074028,200.0,20.0,90.0,265.1
450.0,120.0,600.0,1100.0,200.0,20.0,90.0,265.3
450.0,120.0,900.0,932.5646485942691,200.0,20.0,90.0,265.4
450.0,120.0,900.0,1100.0,200.0,20.0,90.0,265.5
450.0,120.0,900.0,800.0,200.0,20.0,90.0,265.4
